Aaron
Melvin
Melwin
Mert 
Michael
Michel
Miguel 
Mika
Mikael
Mikail
Mike
Milad
Milan
Milas 
Miliam 
Milian 
Milio 
Mille 
Milo 
Milton
Mingus
Mio
Miran 
Miro 
Mohamad
Mohamed
Mohammad
Mohammed
Moltas
Morgan
Morris
Moses
Mostafa
Muad 
Muhamed
Muhammad 
Muhammed
Munasar 
Musa
Musab
Mustafa
Måns
Mårten
Nabil 
Nahom
Natan
Natanael
Nathan
Nathanael
Nathaniel
Nelson 
Nemo
Neo
Nicholas
Nick
Nicklas
Niclas
Nico
Nicolai
Nicolas
Niklas
Nikola
Nikolai
Nikolaj 
Nikolas 
Nilas 
Nilo 
Nils
Nima
Nino
Noa
Noah
Noak
Noam 
Noel
Nore
Norton 
Odd 
Oden 
Odin 
Ola
Oliver
Oliwer
Olivier 
Olle
Olliver
Olof
Olov
Omar
Omer
Oscar
Oskar
Osman
Ossian
Otis 
Otto
Owen
Ozzy 
Pascal
Patric
Patrick
Patrik
Paul
Pelle
Per
Peter
Petrus
Petter
Philip
Pierre
Pontus
Pär
Rafael
Ragnar
Ralf 
Ralph 
Ramadan
Raman
Rami
Rasmus
Rayan 
Razmus
Rex 
Richard
Rickard
Ricky
Ridwan 
Rikard
Rio 
River 
Robert
Roberto
Robin
Roger
Roman 
Romeo
Roni
Roy 
Ruben
Rufus
Rune 
Ryan
Said 
Saif 
Sakarias
Salman 
Sam
Sami
Samir
Sammy
Samuel
Sander
Santino 
Scott 
Sean
Sebastian
Seth
Shayan
Sid 
Sigge
Sigurd
Sigvard
Silas 
Simon
Sixten
Sonny
Stefan
Stellan 
Sten 
Steven 
Stig 
Sture 
Sune
Svante
Sven
Sylvester
Tage
Taha 
Taim 
Tarik
Ted
Teddy
Teo
Teodor
Texas
Theo
Theodor
Theodore
Thiago 
Thim
Thomas
Thor
Thure 
Tiam 
Tiger
Tim
Timmie
Timmy
Timo 
Timothy
Tino 
Tintin
Titus 
Tobias
Todd 
Tom
Tomas
Tommy
Tony
Tor
Tore 
Torsten 
Totte 
Travis 
Tristan
Troy 
Truls
Ture
Tyler 
Tyr 
Uno 
Valde 
Valdemar
Waldemar 
Valentin
Valentino
Walid 
Valle 
Valter
Walter
Walther 
Victor
Wictor
Vidar
Widar 
Vide
Viggo
Wiggo
Vigor 
Viking
Viktor
Wiktor
Vilde 
Wilde 
Wilfred 
Vilgot
Wilgot
Vilhelm
Wilhelm
Ville
Wille
Villiam
William
Willy
Vilmer
Wilmer
Vilton 
Wilton
Vince 
Vincent
Wincent 
Vinston 
Winston
Xander 
Yahya
Yahye 
Yasin
Yasir 
Yassin
Yazan 
Yones
Yonis
Yosef
Younes
Yousef
Yousif 
Youssef
Yunus
Yusuf
Zacharias
Zack
Zackarias
Zaid
Zain 
Zakaria
Zakarias
Zakariya
Zakk 
Zander 
Zeb
Zebastian
Zeke 
Zion 
Åke
Ömer 
